2022-10-30-11031700:0.281;0.130;0.276;0.068;0.003;-0.061;0.995;0.054;0.083;0.000;-5.808;-0.041;0.840;0.02933;-0.498
2022-10-30-11031800:0.260;0.172;0.512;0.057;0.019;0.003;0.995;0.054;0.083;0.000;-5.815;-0.041;0.842;0.02935;-0.498
2022-10-30-11031800:0.264;0.173;0.512;0.057;0.018;0.000;0.995;0.054;0.083;0.000;-5.824;-0.041;0.850;0.02936;-0.497
2022-10-30-11031800:0.270;0.175;0.512;0.057;0.017;-0.002;0.995;0.054;0.083;0.000;-5.835;-0.041;0.859;0.02939;-0.496
2022-10-30-11031800:0.274;0.176;0.512;0.057;0.017;-0.003;0.995;0.054;0.083;0.000;-5.841;-0.041;0.865;0.02940;-0.496
2022-10-30-11031800:0.278;0.178;0.511;0.057;0.016;-0.005;0.995;0.054;0.083;0.000;-5.847;-0.041;0.869;0.02941;-0.495
2022-10-30-11031800:0.284;0.179;0.511;0.056;0.015;-0.007;0.995;0.054;0.083;0.000;-5.856;-0.041;0.875;0.02943;-0.495
2022-10-30-11031800:0.287;0.180;0.510;0.056;0.014;-0.009;0.995;0.054;0.083;0.000;-5.861;-0.042;0.878;0.02944;-0.494
2022-10-30-11031800:0.291;0.181;0.509;0.057;0.014;-0.010;0.995;0.054;0.083;0.000;-5.870;-0.042;0.881;0.02946;-0.493
2022-10-30-11031800:0.297;0.182;0.508;0.057;0.013;-0.012;0.995;0.054;0.083;0.000;-5.935;-0.043;0.893;0.02956;-0.476
2022-10-30-11031800:0.301;0.183;0.508;0.056;0.012;-0.012;0.995;0.054;0.083;0.000;-6.019;-0.045;0.908;0.02968;-0.451
2022-10-30-11031800:0.305;0.184;0.507;0.056;0.012;-0.014;0.995;0.054;0.083;0.000;-6.118;-0.046;0.925;0.02983;-0.420
2022-10-30-11031800:0.311;0.185;0.505;0.056;0.012;-0.015;0.995;0.054;0.083;0.000;-6.267;-0.048;0.951;0.03006;-0.373
2022-10-30-11031800:0.314;0.186;0.504;0.056;0.011;-0.017;0.995;0.054;0.083;0.000;-6.353;-0.049;0.966;0.03020;-0.345
2022-10-30-11031900:0.265;0.271;0.811;0.034;0.045;0.062;0.995;0.054;0.083;0.000;-6.432;-0.048;0.983;0.03033;-0.320
2022-10-30-11031900:0.268;0.276;0.818;0.033;0.046;0.061;0.995;0.054;0.083;0.000;-6.531;-0.045;1.010;0.03050;-0.288
2022-10-30-11031900:0.271;0.279;0.822;0.033;0.046;0.059;0.995;0.054;0.083;0.000;-6.583;-0.043;1.024;0.03059;-0.272
2022-10-30-11031900:0.273;0.283;0.826;0.032;0.047;0.058;0.995;0.054;0.083;0.000;-6.626;-0.042;1.036;0.03067;-0.258
2022-10-30-11031900:0.276;0.287;0.831;0.030;0.047;0.055;0.995;0.054;0.083;0.000;-6.679;-0.040;1.050;0.03077;-0.241
2022-10-30-11031900:0.278;0.290;0.835;0.030;0.047;0.054;0.995;0.054;0.083;0.000;-6.708;-0.039;1.058;0.03082;-0.232
2022-10-30-11031900:0.280;0.294;0.839;0.030;0.047;0.054;0.995;0.054;0.083;0.000;-6.733;-0.039;1.064;0.03087;-0.224
2022-10-30-11031900:0.283;0.298;0.844;0.030;0.047;0.054;0.995;0.054;0.083;0.000;-6.765;-0.038;1.073;0.03093;-0.214
2022-10-30-11031900:0.285;0.302;0.848;0.029;0.048;0.051;0.995;0.054;0.083;0.000;-6.783;-0.037;1.078;0.03097;-0.209
2022-10-30-11031900:0.287;0.305;0.851;0.029;0.046;0.049;0.995;0.054;0.083;0.000;-6.799;-0.037;1.082;0.03100;-0.204
2022-10-30-11031900:0.290;0.310;0.856;0.029;0.046;0.047;0.995;0.054;0.083;0.000;-6.819;-0.037;1.087;0.03104;-0.198
2022-10-30-11031900:0.292;0.313;0.860;0.028;0.044;0.044;0.995;0.054;0.083;0.000;-6.832;-0.037;1.089;0.03107;-0.194
2022-10-30-11032000:0.283;0.316;1.050;0.022;0.044;0.091;0.995;0.054;0.083;0.000;-6.846;-0.037;1.095;0.03109;-0.190
2022-10-30-11032000:0.286;0.321;1.059;0.021;0.045;0.090;0.995;0.054;0.083;0.000;-6.864;-0.035;1.106;0.03113;-0.185
2022-10-30-11032000:0.287;0.324;1.066;0.021;0.046;0.088;0.995;0.054;0.083;0.000;-6.874;-0.034;1.112;0.03115;-0.182
2022-10-30-11032000:0.289;0.328;1.072;0.021;0.046;0.088;0.995;0.054;0.083;0.000;-6.883;-0.033;1.117;0.03117;-0.180
2022-10-30-11032000:0.290;0.331;1.079;0.020;0.046;0.088;0.995;0.054;0.083;0.000;-6.892;-0.032;1.121;0.03119;-0.177
2022-10-30-11032000:0.292;0.336;1.087;0.019;0.047;0.088;0.995;0.054;0.083;0.000;-6.904;-0.032;1.127;0.03121;-0.174
2022-10-30-11032000:0.293;0.339;1.094;0.019;0.046;0.087;0.995;0.054;0.083;0.000;-6.911;-0.031;1.130;0.03122;-0.173
2022-10-30-11032000:0.295;0.342;1.100;0.019;0.046;0.085;0.995;0.054;0.083;0.000;-6.917;-0.031;1.133;0.03123;-0.171
2022-10-30-11032000:0.296;0.347;1.108;0.018;0.045;0.085;0.995;0.054;0.083;0.000;-6.926;-0.031;1.137;0.03125;-0.169
2022-10-30-11032000:0.298;0.350;1.114;0.017;0.046;0.083;0.995;0.054;0.083;0.000;-6.931;-0.030;1.139;0.03126;-0.167
2022-10-30-11032000:0.299;0.353;1.120;0.017;0.045;0.082;0.995;0.054;0.083;0.000;-6.936;-0.030;1.141;0.03127;-0.166
2022-10-30-11032000:0.300;0.356;1.126;0.016;0.046;0.081;0.995;0.054;0.083;0.000;-6.941;-0.030;1.142;0.03128;-0.165
2022-10-30-11032100:0.257;0.398;1.330;-0.004;0.062;0.132;0.995;0.054;0.083;0.000;-6.948;-0.030;1.144;0.03129;-0.163
2022-10-30-11032100:0.256;0.403;1.340;-0.004;0.063;0.131;0.995;0.054;0.083;0.000;-6.955;-0.027;1.151;0.03131;-0.162
2022-10-30-11032100:0.256;0.408;1.350;-0.005;0.063;0.130;0.995;0.054;0.083;0.000;-6.962;-0.024;1.157;0.03132;-0.160
